Researcher Archivist,47000,female,3
Junior Designer,47000,female,3
Reporter,47000,female,2.5
Deputy director for multimedia,47000,female,2
Staff Writer,47000,female,2
Reporter,47000,female,2
Managing editor,47250,male,8
Visuals journalist,47250,female,3
Web and Social Media Producer,47300,female,10
Reporter Editor,47387,female,10
Senior Reporter,47500,male,15
Local Reporter,47500,female,7
Visual journalist - supervisor,47500,female,6
reporter,47500,female,4
Reporter,47500,female,4
Reporter Producer,47500,female,4
Producer Host,48000,female,16
Staff writer,48000,female,15
Production Associate,48000,female,10
Staff Writer Associate Editor,48000,female,10
Assistant editor,48000,female,9
Project Coordiantor ,48000,female,8
Reporter,48000,male,7
Reporter,48000,male,7
Reporter,48000,male,7
TV Reporter MMJ,48000,male,5
Investigative Journalist,48000,male,4.5
Local editor,48000,female,3
Reporter,48000,male,3
Correspondent,48000,female,2
Assistant editor,48000,female,2
Reporter,48000,female,2
Reporter,48000,male,2
Editorial Production Assistant ,48000,female,2
Photo Editor,48000,female,1.5
Assistant Editor,48000,female,1
Reporter,48000,female,1
Associate Publishing Manager,48000,female,0
Producer   engagement editor,48500,male,12
Copywriter & Graphic Designer,48500,female,6
Reporter ,48800,male,10
associate editor,48800,female,5
Sports Reporter,49000,female,34
Marketing Coordinator,49000,female,25
Reporter Producer,49000,female,20
Production Assistant,49000,female,20
Show Producer,49000,male,10
Senior Reporter,49000,female,7
Reporter,49000,female,5
Journalist,49000,female,5
Data reporter,49000,female,3
Reporter,49000,female,3
Senior Reporter,49000,male,3
Producer,49000,female,2
Reporter,49109,female,17
Senior Associate Producer,49500,female,17
Associate Marketing Manager,49500,female,10
Reporter Editor,50000,female,24
Senior Video Producer,50000,male,20
Production Supervisor Community Relations,50000,male,20
Editor at Large,50000,male,15
Reporter editor ,50000,male,11
Reporter,50000,male,8
Managing Editor,50000,female,7
Assistant editor ,50000,female,7
Senior Staff Writer,50000,male,7
news assistant,50000,male,7
Digital Marketing Strategist,50000,female,6
Copy editor,50000,female,6
Assistant Program Director Music Director & AM Show Radio Host ,50000,female,6
Photojournalist,50000,female,5
Editor,50000,female,5
Desk assistant,50000,male,5
Producer,50000,female,5
Reporter,50000,female,5
Reporter Web Editor,50000,female,5
Reporter,50000,female,5
Freelance Opinion Columnist,50000,female,5
editor,50000,male,5
Wire copy editor,50000,male,5
Reporter,50000,female,5
Staff Writer,50000,female,4
Photographer,50000,male,4
Reporter,50000,female,4
Managing Editor of in-house creative studio,50000,female,4
Reporter,50000,female,4
Office Production Assistant,50000,male,4
Managing Editor,50000,male,4
Production Assistant,50000,female,4
Digital Producer,50000,female,3.5
Associate Marketing Manager,50000,female,3
Associate Editor,50000,female,3
Staff Reporter,50000,female,3
Reporter,50000,female,3
Associate Editor,50000,female,3
Reporter,50000,female,3
Video Editor   Motion Designer,50000,male,3
Senior News Writer,50000,male,3
Digital Editor ,50000,male,3
Associate Producer,50000,male,3
Data reporter,50000,male,3
Staff writer,50000,male,3
Associate Strategist,50000,female,2.5
Editorial Assistant,50000,female,2
Associate Editor,50000,female,2
staff writer ,50000,female,2
Digital Content Producer,50000,female,2
Social Media Director,50000,male,2
Associate Producer,50000,male,2
Associate Producer,50000,male,2
Reporter,50000,male,2
Reporter,50000,male,2
News Associate,50000,female,2
Associate social media editor,50000,female,2
Reporter,50000,female,1.5
Updates Writer,50000,female,1.5
Digital Producer,50000,female,1
Web Producer,50000,female,1
Reporter,50000,female,1
Senior Culture Writer,50000,female,1
reporter,50000,male,1
Assistant Editor Editor,50000,female,1
Associate Editor,50000,female,1
Managing Editor,50200,female,13
Correspondent ,50394,female,10
Editor,50500,female,9
Staff reporter,50500,female,5
Editor,50500,male,1
Junior Reporter,50700,male,12
Editorial Assistant,50700,female,5
Junior Reporter,50700,female,4
reporter,50750,female,3
Designer editor,51000,female,20
Staff reporter,51000,female,20
Associate Photo Editor,51000,female,10
News Director,51000,male,8
Managing Editor,51000,female,8
Editorial Assistant,51000,female,6
Associate Producer,51000,female,6
Audience engagement editor,51000,male,6
Assistant editor ,51000,female,3
Social Media Manager,51000,female,2
Senior Interactive Producer,51000,female,2
Homepage social media editor,51000,male,1
Updates Writer,51175,male,2
Senior editor,52000,female,30
Reporter,52000,female,10
Reporter,52000,female,8
Producer,52000,female,5
Reporter,52000,female,5
Audio producer,52000,female,5
Reporter,52000,male,4
Staff Writer,52000,male,3
Managing editor,52000,female,3
Managing Editor,52000,female,3
Junior Graphic Designer,52000,female,3
Statehouse Reporter,52000,female,3
Reporter,52000,male,2
Reporter,52000,female,1
Associate Producer,52500,male,10
Reporter,52500,female,2
Reporter,53000,female,40
Associate Video Producer,53000,female,28
Associate Producer,53000,male,24
Publicist,53000,female,10
Event Content Associate,53000,female,7
Reporter,53000,female,7
Editor GM,53000,female,5
Social Media Manager,53000,female,5
Digital Strategist,53000,female,4
Digital Producer,53000,male,3
Editor Designer,53000,female,2
Copy editor,53000,female,2
Associate Video Producer,53000,male,2
Assistant Managing Editor,53300,female,3
Section Editor,53360,female,3
Managing Editor,53486,female,2.5
Associate Producer,53500,female,5
Reporter Editor,54000,female,15
Business reporter,54000,male,12
Managing Editor,54000,male,9
Editor in Chief,54000,female,8
Reporter,54000,female,6
Coordinator ,54000,female,5
Sports Director,54000,male,4
Reporter,54000,female,4
Staff Writer,54000,female,2
Associate producer,54000,female,1
Senior Writer Team Leader,54080,female,10
Managing Editor,54500,female,8
Digital writer,54500,female,7
Production Development Coordinator,54600,female,6
Reporter,54690,female,6
web producer,54800,female,5
Reporter,55000,male,23
Photojournalist ,55000,male,20
Senior staff reporter,55000,male,18
Assistant editor,55000,female,16
reporter,55000,male,15
Journalist   Host,55000,male,14
Associate Editor,55000,male,13
Editor,55000,male,12
Senior Editor,55000,male,8
Podcast producer audio reporter,55000,female,8
Former Style & Grooming Editor,55000,male,7
Senior News Editor,55000,female,7
Assistant Editorial Producer,55000,female,5
Staff Writer,55000,female,5
Managing Editor,55000,female,5
Audience Engagement ,55000,female,5
Web Producer,55000,male,4.5
Associate Editor,55000,female,4
Digital Content Producer,55000,female,4
Reporter,55000,male,4
Assistant editor,55000,female,4
Reporter,55000,female,4
Associate Staff Writer,55000,female,4
Assistant producer,55000,female,4
Assistant editor,55000,female,3
Producer,55000,female,3
Managing Editor,55000,female,3
Print Editor,55000,male,3
Reporter,55000,male,3
Project Manager Art Department,55000,female,3
Reporter,55000,female,2
Reporter,55000,female,2
Reporter,55000,female,2
Account Executive,55000,female,1
reporter,55500,male,10
Multiplatform Editor  Part-time ,56000,female,10
Social Media Manager,56000,female,10
Co-Host Producer,56000,female,8
News Assistant,56000,male,8
Associate Staff Writer,56000,male,7
Reporter,56000,male,6
Graphics Intern,56000,male,5
Journalism Teacher,56000,male,4
Section Editor,56000,female,4
Social Media Editor,56000,female,4
News Assistant,56000,female,4
Reporter ,56000,female,3
Reporter,56000,male,3
Staff Reporter,56000,male,3
Reporter,56000,female,3
Digital editor,56000,female,2
Reporter,56000,female,2
Associate Partnerships Manager,56000,female,2
staff writer,56000,female,1
Reporter,56000,male,1
assistant producer,56000,male,1
Reporter,56100,female,6
Marketing Coordinator,56500,female,6
Content Producer,56500,female,4
Promotions Producer,56625,female,3
Writer  reporter ,56800,male,3.5
Digital Producer,57000,female,18
Staff Writer,57000,female,18
Homepage Producer,57000,male,16
Editor,57000,female,8
Senior reporter,57000,female,7
Photo Editor,57000,female,5
Reporter,57000,female,5
Editorial Assistant,57000,female,4.5
Digital Asset Management Specialist,57000,female,4
Senior writer,57000,male,3
Reporter,57000,male,3
Associate Video Producer,57000,male,2
Reporter,57000,female,1.5
Staff Editor,57500,female,12
Reporter,57500,female,8
Digital Producer,57500,female,8
Associate Photo Editor,57500,male,2
Staff Writer,57600,female,7
CONTENT PRODUCER,57600,female,5
Assistant Video Editor,57980,female,5
Associate Producer Podcasts,58000,male,27
Staff Writer,58000,female,19
Reporter ,58000,male,8
Reporter,58000,female,6
associate editor,58000,female,4
Senior Reporter,58000,female,4
Associate Producer,58000,female,4
Reporter,58000,female,4
,58000,female,4
Digital Media Manager,58000,female,4
Designer,58000,male,4
Bureau Chief,58000,female,3
Reporter,58000,female,3
Sports editor ,58000,female,3
Staff Writer,58000,female,3
Staff writer,58000,female,3
Producer,58000,female,2
Reporter,58000,female,2
Reporter,58000,female,2
Reporter,58000,female,2
Engagement Reporter,58000,female,2
Staff Writer,58000,female,2
Associate Photo Editor,58000,male,2
Reporter,58000,female,1
Assistant Snapchat Editor,58500,female,30
Associate Producer,58500,female,30
News Writer,58500,female,12
Associate Editor,58500,male,10
Assistant Visuals Editor,58500,female,10
Assistant Fashion Editor,58500,female,7
Sales Planner,58500,female,4
Digital Producer,58500,female,3
Managing Editor,58500,female,3
Staff Writer,58500,female,3
Associate Editor,58500,female,3
Junior Motion Graphics Designer,58500,female,3
Senior Editor,58500,female,2
Associate E-commerce Editor,58500,female,2
Ecommerce Writer ,58500,female,1.5
Social Media Editor,58500,female,1.5
Associate Digital Editor,58500,female,1
Art Director & Senior Motion Graphics Designer ,58600,male,9
Social Media Specialist,58800,female,17
Legal reporter,59000,male,15
Senior writer,59000,male,15
Reporter,59000,male,11
Magazine editor,59000,female,10
Editor,59000,female,6
Reporter II,59000,female,6
Managing Editor,59000,female,6
Audit Staff,59000,female,5.5
Staff writer,60000,female,14
Senior Editor,60000,male,10
Desk Editor,60000,male,9
Producer,60000,male,8
Art Director,60000,male,8
Social Media Strategist,60000,female,8
News Assistant,60000,female,8
Writer,60000,male,7
Associate Producer,60000,male,7
Digital Editor,60000,male,6
Social Media Producer,60000,female,6
Staff writer,60000,female,5
Assistant Editor,60000,female,5
Automotive Shop Owners,60000,female,5
Freelance Reporter,60000,female,5
Digital Editor,60000,female,5
visuals editor,60000,female,5
Associate editor,60000,female,5
Designer,60000,female,5
Staff reporter,60000,male,5
Research Analyst,60000,female,5
Entry-level reporter,60000,female,5
Associate Producer,60000,male,4.5
Reporter,60000,male,4
Reporter,60000,male,4
Reporter,60000,female,4
Reporter,60000,female,4
Staff Writer,60000,male,4
